job_id,image_name,object_count,label,area,min_x,min_y,max_x,max_y
1,000000000139,15,1,6754,0,0,236,43
1,000000000139,15,2,13132,55,31,255,139
1,000000000139,15,3,821,0,39,33,69
1,000000000139,15,4,112,240,72,255,80
1,000000000139,15,5,66,234,89,241,101
1,000000000139,15,7,1260,210,104,255,167
1,000000000139,15,14,259,0,169,12,192
1,000000000139,15,15,196,243,174,255,190
1,000000000139,15,16,440,217,175,236,223
1,000000000139,15,17,207,144,220,176,230
1,000000000139,15,18,485,227,222,255,247
1,000000000139,15,19,118,122,225,150,239
1,000000000139,15,22,86,80,236,101,244
1,000000000139,15,23,521,158,236,215,255
1,000000000139,15,25,404,15,243,71,255
2,000000000285,5,1,22560,21,0,255,255
2,000000000285,5,6,89,0,5,9,23
2,000000000285,5,13,53,55,117,61,130
2,000000000285,5,15,1065,0,130,25,231
2,000000000285,5,21,135,6,235,15,255
3,000000000632,6,2,577,111,20,164,63
3,000000000632,6,3,194,99,22,128,31
3,000000000632,6,6,203,146,45,164,74
3,000000000632,6,8,51,120,68,129,77
3,000000000632,6,20,50,144,111,152,120
3,000000000632,6,26,253,201,199,219,214
4,000000000724,13,1,3350,158,0,255,53
4,000000000724,13,5,234,49,59,60,84
4,000000000724,13,6,104,63,61,74,76
4,000000000724,13,8,2015,48,69,122,130
4,000000000724,13,10,616,232,94,255,131
4,000000000724,13,11,937,183,97,229,130
4,000000000724,13,13,576,137,110,179,138
4,000000000724,13,17,111,13,117,23,130
4,000000000724,13,23,317,101,166,126,186
4,000000000724,13,24,859,137,168,212,201
4,000000000724,13,26,387,226,206,255,226
4,000000000724,13,29,95,92,250,113,255
4,000000000724,13,30,181,154,251,205,255
5,000000000776,1,1,1360,0,0,38,54
6,000000000785,4,1,53859,0,0,255,255
6,000000000785,4,2,84,151,56,160,68
6,000000000785,4,3,310,174,84,199,121
6,000000000785,4,4,391,174,162,198,210
7,000000000802,4,1,4895,0,0,25,255
7,000000000802,4,2,3017,236,0,255,255
7,000000000802,4,3,3398,151,49,181,238
7,000000000802,4,4,408,109,55,131,76
8,000000000872,5,2,54,62,0,71,9
8,000000000872,5,8,76,96,51,107,58
8,000000000872,5,10,100,165,62,177,73
8,000000000872,5,12,28454,0,66,255,255
8,000000000872,5,14,217,248,97,255,146
9,000000000885,4,2,127,155,113,167,124
9,000000000885,4,3,206,118,126,147,139
9,000000000885,4,4,7710,15,144,134,234
9,000000000885,4,5,7317,135,152,253,232
10,000000001000,25,2,176,9,0,32,12
10,000000001000,25,3,5486,29,0,191,67
10,000000001000,25,4,223,195,0,211,21
10,000000001000,25,6,445,0,13,24,47
10,000000001000,25,8,6003,0,47,78,244
10,000000001000,25,13,58,93,63,100,74
10,000000001000,25,15,54,108,71,116,79
10,000000001000,25,16,53,94,79,101,89
10,000000001000,25,17,70,155,83,170,90
10,000000001000,25,18,477,181,85,221,112
10,000000001000,25,21,349,75,116,94,146
10,000000001000,25,22,312,83,126,106,157
10,000000001000,25,25,650,242,139,255,208
10,000000001000,25,26,85,218,145,227,160
10,000000001000,25,28,196,54,150,68,175
10,000000001000,25,29,514,143,158,166,188
10,000000001000,25,30,66,55,180,60,194
10,000000001000,25,31,75,0,181,4,202
10,000000001000,25,32,77,68,185,76,198
10,000000001000,25,33,129,184,194,194,215
10,000000001000,25,34,147,199,205,219,221
10,000000001000,25,36,2380,14,212,118,255
10,000000001000,25,38,79,134,230,149,240
10,000000001000,25,40,91,140,237,157,247
10,000000001000,25,42,106,126,245,143,255
11,000000001268,7,1,349,99,0,193,19
11,000000001268,7,3,347,103,10,194,36
11,000000001268,7,4,383,88,17,188,49
11,000000001268,7,5,119,0,22,20,30
11,000000001268,7,8,281,108,31,178,59
11,000000001268,7,10,102,146,57,174,73
11,000000001268,7,11,10620,0,77,190,153
12,000000001296,9,1,234,232,0,242,32
12,000000001296,9,2,188,44,10,62,27
12,000000001296,9,3,239,20,19,38,35
12,000000001296,9,4,16305,3,22,255,255
12,000000001296,9,5,637,92,54,127,89
