job_id,image_name,width,height,object_count,gpu_time_ms,total_time_ms,status
1,000000000139,256,256,15,1.769,1812.129,success
2,000000000285,256,256,5,0.318,2.110,success
3,000000000632,256,256,6,0.365,1.774,success
4,000000000724,256,256,13,0.342,1.753,success
5,000000000776,256,256,1,0.376,1.633,success
6,000000000785,256,256,4,0.400,2.562,success
7,000000000802,256,256,4,0.769,2.843,success
8,000000000872,256,256,5,0.387,2.646,success
9,000000000885,256,256,4,0.382,2.131,success
10,000000001000,256,256,25,0.542,3.391,success
11,000000001268,256,256,7,0.579,2.075,success
12,000000001296,256,256,9,0.422,2.539,success
13,000000001353,256,256,3,0.587,2.949,success
14,000000001425,256,256,3,0.646,4.163,success
15,000000001490,256,256,27,1.253,5.191,success
16,000000001503,256,256,5,0.420,2.672,success
17,000000001532,256,256,10,0.416,2.584,success
18,000000001584,256,256,8,0.393,1.909,success
19,000000001675,256,256,3,0.369,1.904,success
20,000000001761,256,256,8,0.541,4.073,success
21,000000001818,256,256,24,0.474,2.271,success
22,000000001993,256,256,4,0.349,1.948,success
23,000000002006,256,256,19,0.329,1.753,success
24,000000002149,256,256,10,0.347,1.713,success
25,000000002153,256,256,7,0.345,1.550,success
26,000000002157,256,256,10,0.356,1.808,success
27,000000002261,256,256,5,0.336,2.085,success
28,000000002299,256,256,27,0.316,1.769,success
29,000000002431,256,256,10,0.344,2.032,success
30,000000002473,256,256,4,0.332,1.582,success
31,000000002532,256,256,6,0.318,2.041,success
32,000000002587,256,256,8,0.403,1.831,success
33,000000002592,256,256,4,0.332,1.998,success
34,000000002685,256,256,10,0.377,2.031,success
35,000000002923,256,256,2,0.409,2.077,success
36,000000003156,256,256,13,0.370,1.930,success
37,000000003255,256,256,10,0.403,2.466,success
38,000000003501,256,256,5,0.371,2.027,success
39,000000003553,256,256,8,0.387,1.818,success
40,000000003661,256,256,8,0.365,1.753,success
41,000000003845,256,256,13,0.644,2.118,success
42,000000003934,256,256,7,0.314,1.515,success
43,000000004134,256,256,6,0.377,1.803,success
44,000000004395,256,256,4,0.366,1.963,success
45,000000004495,256,256,4,0.341,1.877,success
46,000000004765,256,256,2,0.793,2.644,success
47,000000004795,256,256,7,0.372,2.150,success
48,000000005001,256,256,20,0.339,1.841,success
49,000000005037,256,256,16,0.361,1.912,success
50,000000005060,256,256,7,0.348,1.842,success
51,000000005193,256,256,10,0.415,1.842,success
52,000000005477,256,256,7,0.358,2.330,success
53,000000005503,256,256,3,0.602,2.024,success
54,000000005529,256,256,9,0.329,2.260,success
55,000000005586,256,256,3,0.340,1.882,success
56,000000005600,256,256,5,0.469,1.798,success
57,000000005992,256,256,7,0.325,1.764,success
58,000000006012,256,256,16,0.323,2.155,success
59,000000006040,256,256,5,0.309,1.700,success
60,000000006213,256,256,3,0.323,1.993,success
61,000000006460,256,256,3,0.303,1.861,success
62,000000006471,256,256,5,0.436,2.360,success
63,000000006614,256,256,1,0.332,2.580,success
64,000000006723,256,256,16,0.336,2.095,success
65,000000006763,256,256,4,0.386,1.760,success
66,000000006771,256,256,12,0.429,2.358,success
67,000000006818,256,256,2,0.325,2.107,success
68,000000006894,256,256,7,0.666,2.283,success
69,000000006954,256,256,17,0.393,1.984,success
70,000000007088,256,256,7,0.312,1.810,success
71,000000007108,256,256,15,0.333,1.666,success
72,000000007278,256,256,4,0.316,1.678,success
73,000000007281,256,256,18,0.344,2.168,success
74,000000007386,256,256,18,0.391,1.662,success
75,000000007511,256,256,7,0.543,2.533,success
76,000000007574,256,256,14,0.351,1.688,success
77,000000007784,256,256,4,0.301,1.267,success
78,000000007795,256,256,2,0.513,2.038,success
79,000000007816,256,256,28,0.318,1.821,success
80,000000007818,256,256,6,0.366,1.663,success
81,000000007888,256,256,1,0.296,2.151,success
82,000000007977,256,256,3,0.340,2.085,success
83,000000007991,256,256,22,0.321,1.672,success
84,000000008021,256,256,9,0.545,1.816,success
85,000000008211,256,256,10,0.328,1.863,success
86,000000008277,256,256,13,0.335,1.726,success
87,000000008532,256,256,4,0.451,2.385,success
88,000000008629,256,256,4,0.371,2.144,success
89,000000008690,256,256,9,0.331,1.963,success
90,000000008762,256,256,2,0.331,1.291,success
91,000000008844,256,256,13,0.335,1.816,success
92,000000008899,256,256,12,0.393,1.627,success
93,000000009378,256,256,8,0.635,1.945,success
94,000000009400,256,256,2,0.508,1.577,success
95,000000009448,256,256,7,0.322,1.703,success
96,000000009483,256,256,6,0.303,1.741,success
97,000000009590,256,256,8,0.444,1.755,success
98,000000009769,256,256,22,0.349,1.762,success
99,000000009772,256,256,13,0.402,1.940,success
100,000000009891,256,256,8,0.337,1.724,success
101,000000009914,256,256,19,0.481,1.932,success
102,000000010092,256,256,10,0.333,1.722,success
103,000000010363,256,256,7,0.322,1.428,success
104,000000010583,256,256,7,0.427,2.068,success
105,000000010707,256,256,12,0.546,2.109,success
106,000000010764,256,256,6,0.535,1.866,success
107,000000010977,256,256,3,0.328,2.184,success
108,000000010995,256,256,4,0.319,1.700,success
109,000000011051,256,256,12,0.506,1.988,success
110,000000011122,256,256,7,0.342,1.666,success
111,000000011149,256,256,14,0.581,2.126,success
112,000000011197,256,256,10,0.332,1.708,success
113,000000011511,256,256,10,0.359,1.705,success
114,000000011615,256,256,11,0.501,2.076,success
115,000000011699,256,256,16,0.382,1.655,success
116,000000011760,256,256,8,0.333,1.820,success
117,000000011813,256,256,11,0.500,2.101,success
118,000000012062,256,256,6,0.342,1.980,success
119,000000012120,256,256,10,0.384,1.542,success
120,000000012280,256,256,14,0.335,1.795,success
121,000000012576,256,256,8,0.345,1.994,success
122,000000012639,256,256,5,0.393,2.086,success
123,000000012667,256,256,6,0.338,2.053,success
124,000000012670,256,256,22,0.343,1.609,success
125,000000012748,256,256,10,0.326,1.637,success
126,000000013004,256,256,6,0.334,1.805,success
127,000000013177,256,256,12,0.345,1.779,success
128,000000013201,256,256,19,0.334,1.710,success
129,000000013291,256,256,16,0.323,1.739,success
130,000000013348,256,256,11,0.328,1.937,success
131,000000013546,256,256,8,0.337,1.597,success
132,000000013597,256,256,13,0.500,2.291,success
133,000000013659,256,256,18,0.310,1.488,success
134,000000013729,256,256,11,0.497,2.123,success
135,000000013774,256,256,3,0.516,2.371,success
136,000000013923,256,256,5,0.318,2.133,success
137,000000014007,256,256,2,0.352,1.911,success
138,000000014038,256,256,11,0.325,1.728,success
139,000000014226,256,256,7,0.313,1.646,success
140,000000014380,256,256,8,0.540,2.260,success
141,000000014439,256,256,13,0.675,2.075,success
142,000000014473,256,256,6,0.379,1.518,success
143,000000014831,256,256,6,0.338,1.749,success
144,000000014888,256,256,10,0.310,1.411,success
145,000000015079,256,256,18,0.326,1.661,success
146,000000015254,256,256,23,0.356,1.627,success
147,000000015272,256,256,30,0.377,2.120,success
148,000000015278,256,256,21,0.334,1.603,success
149,000000015335,256,256,9,0.371,1.390,success
150,000000015338,256,256,13,0.363,1.719,success
151,000000015440,256,256,12,0.332,1.784,success
152,000000015497,256,256,2,0.507,1.737,success
153,000000015517,256,256,12,0.335,1.807,success
154,000000015597,256,256,3,0.363,1.840,success
155,000000015660,256,256,18,0.339,1.805,success
156,000000015746,256,256,14,0.330,1.699,success
157,000000015751,256,256,11,0.372,7.851,success
158,000000015956,256,256,6,0.332,1.624,success
159,000000016010,256,256,14,0.333,1.811,success
160,000000016228,256,256,12,0.310,2.060,success
161,000000016249,256,256,14,0.357,1.840,success
162,000000016439,256,256,4,0.411,1.840,success
163,000000016451,256,256,5,0.322,2.245,success
164,000000016502,256,256,2,0.578,2.602,success
165,000000016598,256,256,9,0.331,1.940,success
166,000000016958,256,256,6,0.474,1.686,success
167,000000017029,256,256,12,0.677,2.426,success
168,000000017031,256,256,14,0.393,1.994,success
169,000000017115,256,256,33,0.412,1.899,success
170,000000017178,256,256,13,0.343,1.579,success
171,000000017182,256,256,6,0.351,1.406,success
172,000000017207,256,256,5,0.319,1.590,success
173,000000017379,256,256,8,0.307,1.604,success
174,000000017436,256,256,8,0.339,1.854,success
175,000000017627,256,256,9,0.356,1.564,success
176,000000017714,256,256,10,0.402,1.877,success
177,000000017899,256,256,9,0.501,2.115,success
178,000000017905,256,256,9,0.520,1.836,success
179,000000017959,256,256,9,0.315,1.842,success
180,000000018150,256,256,4,0.340,1.445,success
181,000000018193,256,256,3,0.425,1.827,success
182,000000018380,256,256,32,0.353,1.872,success
183,000000018491,256,256,11,0.389,1.874,success
184,000000018519,256,256,7,0.365,2.189,success
185,000000018575,256,256,16,0.364,2.191,success
186,000000018737,256,256,4,0.381,2.287,success
187,000000018770,256,256,1,0.353,1.486,success
188,000000018833,256,256,5,0.316,1.810,success
189,000000018837,256,256,23,0.447,1.890,success
190,000000019042,256,256,5,0.355,1.908,success
191,000000019109,256,256,27,0.541,1.999,success
192,000000019221,256,256,7,0.370,1.687,success
193,000000019402,256,256,6,0.328,1.765,success
194,000000019432,256,256,12,0.323,1.534,success
195,000000019742,256,256,3,0.551,2.170,success
196,000000019786,256,256,5,0.413,1.589,success
197,000000019924,256,256,5,0.318,2.112,success
198,000000020059,256,256,14,0.350,1.930,success
199,000000020107,256,256,6,0.402,1.776,success
200,000000020247,256,256,4,0.412,3.439,success
201,000000020333,256,256,10,0.541,2.278,success
202,000000020553,256,256,5,0.730,10.516,success
203,000000020571,256,256,15,0.449,2.197,success
204,000000020992,256,256,8,0.316,1.662,success
205,000000021167,256,256,7,0.457,1.661,success
206,000000021465,256,256,7,0.387,1.803,success
207,000000021503,256,256,5,0.364,1.807,success
208,000000021604,256,256,7,0.346,1.427,success
209,000000021839,256,256,9,0.308,1.540,success
210,000000021879,256,256,11,0.339,2.154,success
211,000000021903,256,256,14,0.351,1.599,success
212,000000022192,256,256,4,0.297,1.931,success
213,000000022371,256,256,2,0.520,2.308,success
214,000000022396,256,256,6,0.314,2.046,success
215,000000022479,256,256,14,0.317,1.559,success
216,000000022589,256,256,8,0.303,1.545,success
217,000000022623,256,256,3,0.328,1.676,success
218,000000022705,256,256,7,0.291,1.362,success
219,000000022755,256,256,1,0.353,1.292,success
220,000000022892,256,256,9,0.344,1.916,success
221,000000022935,256,256,11,0.316,1.773,success
222,000000022969,256,256,8,0.337,1.837,success
223,000000023023,256,256,4,0.347,1.826,success
224,000000023034,256,256,19,0.310,1.681,success
225,000000023126,256,256,10,0.530,2.184,success
226,000000023230,256,256,8,0.368,2.091,success
227,000000023272,256,256,13,0.309,1.730,success
228,000000023359,256,256,3,0.343,1.511,success
229,000000023666,256,256,4,0.537,2.009,success
230,000000023751,256,256,6,0.345,2.344,success
231,000000023781,256,256,29,0.381,1.822,success
232,000000023899,256,256,4,0.335,1.425,success
233,000000023937,256,256,12,0.327,1.974,success
234,000000024021,256,256,19,0.345,1.543,success
235,000000024027,256,256,2,0.335,2.146,success
236,000000024144,256,256,2,0.403,2.007,success
237,000000024243,256,256,5,0.348,1.797,success
238,000000024567,256,256,9,0.339,1.831,success
239,000000024610,256,256,9,0.300,1.671,success
240,000000024919,256,256,11,0.335,2.112,success
241,000000025057,256,256,7,0.354,1.903,success
242,000000025096,256,256,14,0.337,1.853,success
243,000000025139,256,256,34,0.301,1.818,success
244,000000025181,256,256,8,0.327,1.549,success
245,000000025228,256,256,1,0.324,1.603,success
246,000000025386,256,256,18,0.367,1.879,success
247,000000025393,256,256,6,0.326,1.328,success
248,000000025394,256,256,7,0.508,1.720,success
249,000000025424,256,256,6,0.296,1.458,success
250,000000025560,256,256,7,0.293,1.491,success
251,000000025593,256,256,5,0.330,1.701,success
252,000000025603,256,256,7,0.330,1.680,success
253,000000025986,256,256,10,0.315,1.837,success
254,000000026204,256,256,13,0.296,1.918,success
255,000000026465,256,256,5,0.351,1.791,success
256,000000026564,256,256,16,0.329,1.550,success
257,000000026690,256,256,11,0.306,1.417,success
258,000000026926,256,256,4,0.446,1.706,success
259,000000026941,256,256,17,0.329,1.853,success
260,000000027186,256,256,6,0.324,1.506,success
261,000000027620,256,256,9,0.520,2.162,success
262,000000027696,256,256,19,0.341,1.682,success
263,000000027768,256,256,8,0.346,2.097,success
264,000000027932,256,256,17,0.583,2.236,success
265,000000027972,256,256,8,0.392,2.280,success
266,000000027982,256,256,13,0.374,1.952,success
267,000000028285,256,256,4,0.622,2.048,success
268,000000028449,256,256,7,0.342,1.917,success
269,000000028452,256,256,7,0.460,2.008,success
270,000000028809,256,256,12,0.386,1.715,success
271,000000028993,256,256,9,0.323,1.755,success
272,000000029187,256,256,10,0.367,1.496,success
273,000000029393,256,256,13,0.328,1.722,success
274,000000029397,256,256,11,0.476,1.945,success
275,000000029596,256,256,8,0.334,1.791,success
276,000000029640,256,256,30,0.353,1.863,success
277,000000029675,256,256,4,0.304,1.767,success
278,000000029984,256,256,28,0.338,1.726,success
279,000000030213,256,256,16,0.348,1.795,success
280,000000030494,256,256,11,0.319,1.493,success
281,000000030504,256,256,16,0.298,2.023,success
282,000000030675,256,256,5,0.315,1.744,success
283,000000030785,256,256,5,0.306,1.464,success
284,000000030828,256,256,9,0.367,1.825,success
285,000000031050,256,256,8,0.339,1.556,success
286,000000031093,256,256,4,0.542,1.635,success
287,000000031118,256,256,12,0.366,1.464,success
288,000000031217,256,256,3,0.351,1.657,success
289,000000031248,256,256,9,0.295,1.872,success
290,000000031269,256,256,10,0.360,1.908,success
291,000000031296,256,256,15,0.306,1.669,success
292,000000031322,256,256,17,0.328,1.748,success
293,000000031620,256,256,12,0.549,2.103,success
294,000000031735,256,256,14,0.345,1.675,success
295,000000031749,256,256,5,0.600,2.233,success
296,000000031817,256,256,11,0.327,1.788,success
297,000000032038,256,256,3,0.584,1.974,success
298,000000032081,256,256,14,0.400,1.870,success
299,000000032285,256,256,1,0.634,2.259,success
300,000000032334,256,256,8,0.324,1.632,success
301,000000032570,256,256,4,0.319,1.863,success
302,000000032610,256,256,13,0.599,1.972,success
303,000000032735,256,256,3,0.321,1.749,success
304,000000032811,256,256,1,0.344,1.740,success
305,000000032817,256,256,11,0.325,1.764,success
306,000000032861,256,256,4,0.416,1.613,success
307,000000032887,256,256,12,0.317,1.512,success
308,000000032901,256,256,10,0.342,1.861,success
309,000000032941,256,256,10,0.345,1.860,success
310,000000033005,256,256,2,0.369,1.637,success
311,000000033104,256,256,20,0.306,1.741,success
312,000000033109,256,256,5,0.396,1.662,success
313,000000033114,256,256,8,0.562,2.220,success
314,000000033221,256,256,18,0.315,1.903,success
315,000000033368,256,256,2,0.364,2.069,success
316,000000033638,256,256,13,0.311,1.540,success
317,000000033707,256,256,17,0.330,1.869,success
318,000000033759,256,256,11,0.340,1.550,success
319,000000033854,256,256,3,0.346,2.051,success
320,000000034071,256,256,6,0.521,1.811,success
321,000000034139,256,256,24,0.302,1.532,success
322,000000034205,256,256,10,0.456,1.972,success
323,000000034257,256,256,19,0.343,1.604,success
324,000000034417,256,256,21,0.737,2.304,success
325,000000034452,256,256,26,0.323,1.610,success
